sku_id,product_name,category,warehouse_id,supplier_id,units_in_stock,units_sold_yesterday,reorder_point,unit_cost,snapshot_date
SKU-1001,Wireless Mouse 01,ELEC,WH-01,SUP-01,25,7,10,161.12,09-07-2026
SKU-1002,Coffee Mug 02,Home and Kitchen,WH-02,SUP-02,57,8,25,186.29,09-07-2026
SKU-1003,Bookshelf 03,Furniture ,WH-03,SUP-03,44,12,15,58.52,09-07-2026
SKU-1004,Printer Paper 04,OFFICE,WH-04,SUP-04,46,11,15,170.31,09-07-2026
SKU-1005,Hoodie 05,APP,WH-01,SUP-05,20,0,10,149.06,09-07-2026
SKU-1006,Almonds 06,grocery,WH-02,SUP-06,97,16,25,10.85,09-07-2026
SKU-1007,Webcam 07,Electronics ,WH-03,SUP-07,26,9,10,60.85,09-07-2026
SKU-1008,Water Filter 08,home kitchen,WH-04,SUP-08,129,,50,141.85,09-07-2026
SKU-1009,Office Chair 09,Furniture ,WH-01,SUP-09,114,9,30,57.84,09-07-2026
SKU-1010,Gel Pen Set 10,Stationery,WH-02,SUP-10,37,14,10,203.02,09-07-2026
SKU-1011,Denim Jacket 11,APP,WH-03,SUP-01,74,11,20,190.55,09-07-2026
SKU-1012,Protein Bar 12,grocery,WH-04,SUP-02,50,13,40,175.59,09-07-2026
SKU-1013,Power Bank 13,ELEC,WH-01,,17,22,25,72,09-07-2026
SKU-1014,Storage Jar 14,Home and Kitchen,WH-02,SUP-04,133,1,40,239.45,09-07-2026
SKU-1015,Folding Chair 15,Furniture ,WH-03,SUP-05,105,12,50,28.69,09-07-2026
SKU-1016,File Folder 16,Stationery,WH-04,SUP-06,-5,8,40,27.34,09-07-2026
SKU-1017,Cotton T-Shirt 17,Apparel ,WH-01,SUP-07,11,16,10,152.32,09-07-2026
SKU-1018,Olive Oil 18,grocery,WH-02,SUP-08,46,7,15,183.38,09-07-2026
SKU-1019,  BLUETOOTH SPEAKER 19  ,Electronic,WH-03,SUP-09,140,10,50,243.37,09-07-2026
SKU-1020,Knife Set 20,Home and Kitchen,WH-04,SUP-10,59,6,30,22.92,09-07-2026
SKU-1021,Bedside Table 21,Furniture,WH-01,SUP-01,25,7,40,207.95,09-07-2026
SKU-1022,Sticky Notes 22,office supplies,WH-02,SUP-02,37,13,15,145.82,09-07-2026
SKU-1023,Cap 23,Apparel,WH-03,SUP-03,73,11,25,14.8,09-07-2026
SKU-1024,Peanut Butter 24,Grocery,WH-04,SUP-04,18,,15,194.06,09-07-2026
SKU-1025,Wireless Mouse 25,ELEC,WH-01,SUP-05,18,13,15,214.34,09-07-2026
SKU-1026,Coffee Mug 26,home kitchen,WH-02,SUP-06,87,10,75,97.2,09-07-2026
SKU-1027,Bookshelf 27,furniture,WH-03,SUP-07,98,9,40,160.2,09-07-2026
SKU-1028,Printer Paper 28,Office-Supplies,WH-04,SUP-08,128,0,40,43.59,09-07-2026
SKU-1029,Hoodie 29,Clothing,WH-01,SUP-09,58,12,30,55.14,09-07-2026
SKU-1030,Almonds 30,Grocery,WH-02,SUP-10,28,14,15,176.5,09-07-2026
SKU-1031,Webcam 31,ELEC,WH-03,SUP-01,15,3,20,153.65,09-07-2026
SKU-1032,Water Filter 32,Home & Kitchen,WH-04,SUP-02,75,0,25,135.17,09-07-2026
SKU-1033,Office Chair 33,Furnitures,WH-01,SUP-03,100,12,50,43.78,09-07-2026
SKU-1034,Gel Pen Set 34,Office-Supplies,WH-02,SUP-04,26,15,25,70.04,09-07-2026
SKU-1035,Denim Jacket 35,Apparel ,WH-03,SUP-05,19,12,10,172.26,09-07-2026
SKU-1036,Protein Bar 36,Food,WH-04,SUP-06,7,25,10,59.96,09-07-2026
SKU-1037,Power Bank 37,electronics,WH-01,SUP-07,186,20,50,201.94,09-07-2026
SKU-1038,Storage Jar 38,Kitchen,WH-02,SUP-08,24,0,25,69.5,09-07-2026
SKU-1039,Folding Chair 39,furniture,WH-03,SUP-09,145,0,40,228.59,09-07-2026
SKU-1040,File Folder 40,Office-Supplies,WH-04,SUP-10,132,500,75,55.91,09-07-2026
SKU-1041,Cotton T-Shirt 41,Clothing,WH-01,SUP-01,152,10,75,101.02,09-07-2026
SKU-1042,Olive Oil 42,Food,WH-02,SUP-02,58,22,20,38.72,09-07-2026
SKU-1043,Bluetooth Speaker 43,electronics,WH-03,SUP-03,32,8,30,64.29,09-07-2026
SKU-1044,Knife Set 44,Home and Kitchen,WH-04,SUP-04,194,6,50,187.64,09-07-2026
SKU-1045,Bedside Table 45,Furniture,WH-01,SUP-05,76,11,50,224.81,09-07-2026
SKU-1046,Sticky Notes 46,Stationery,WH-02,SUP-06,50,9,20,92.73,09-07-2026
SKU-1047,Cap 47,Apparel ,WH-03,SUP-07,9,18,15,129.1,09-07-2026
SKU-1048,Peanut Butter 48,grocery,WH-04,SUP-08,10,8,15,189.8,09-07-2026
SKU-1049,Wireless Mouse 49,ELEC,WH-01,SUP-09,70,14,20,41.18,09-07-2026
SKU-1050,Coffee Mug 50,Home and Kitchen,WH-02,SUP-10,41,12,50,198.75,09-07-2026
SKU-1001,Wireless Mouse 01,ELEC,WH-01,SUP-01,23,12,10,161.12,10-07-2026
SKU-1002,Coffee Mug 02,Home and Kitchen,WH-02,SUP-02,64,20,25,186.29,10-07-2026
SKU-1003,Bookshelf 03,FURN,WH-03,SUP-03,17,0,15,58.52,10-07-2026
SKU-1004,Printer Paper 04,Office-Supplies,WH-04,SUP-04,16,10,15,170.31,10-07-2026
SKU-1005,Hoodie 05,Apparel,WH-01,SUP-05,16,0,10,149.06,10-07-2026
SKU-1006,Almonds 06,Food,WH-02,SUP-06,6,18,25,10.85,10-07-2026
SKU-1007,Webcam 07,electronics,WH-03,SUP-07,0,31,10,60.85,10-07-2026
SKU-1008,Water Filter 08,home kitchen,WH-04,SUP-08,108,11,50,141.85,10-07-2026
SKU-1009,Office Chair 09,FURN,WH-01,SUP-09,101,23,30,57.84,10-07-2026
SKU-1010,Gel Pen Set 10,Office-Supplies,WH-02,SUP-10,12,6,10,203.02,10-07-2026
SKU-1011,Denim Jacket 11,Apparel ,WH-03,SUP-01,48,16,20,190.55,10-07-2026
SKU-1012,Protein Bar 12,Food,WH-04,SUP-02,16,3,40,175.59,10-07-2026
SKU-1013,Power Bank 13,electronics,WH-01,,92,9,25,72,10-07-2026
SKU-1014,Storage Jar 14,Home & Kitchen,WH-02,SUP-04,49,20,40,239.45,10-07-2026
SKU-1015,Folding Chair 15,furniture,WH-03,SUP-05,67,11,50,28.69,10-07-2026
SKU-1016,File Folder 16,office supplies,WH-04,SUP-06,117,8,40,27.34,10-07-2026
SKU-1017,Cotton T-Shirt 17,APP,WH-01,SUP-07,20,7,10,152.32,10-07-2026
SKU-1018,Olive Oil 18,Grocery,WH-02,SUP-08,54,1,15,183.38,10-07-2026
SKU-1019,Bluetooth Speaker 19,Electronics,WH-03,SUP-09,65,17,50,243.37,10-07-2026
SKU-1020,Knife Set 20,home kitchen,WH-04,SUP-10,44,15,30,22.92,10-07-2026
SKU-1021,Bedside Table 21,Furniture ,WH-01,SUP-01,120,8,40,207.95,10-07-2026
SKU-1022,Sticky Notes 22,Stationery,WH-02,SUP-02,42,8,15,145.82,10-07-2026
SKU-1023,Cap 23,apparel,WH-03,SUP-03,85,14,25,14.8,10-07-2026
SKU-1024,Peanut Butter 24,GROC,WH-04,SUP-04,32,12,15,194.06,10-07-2026
SKU-1025,Wireless Mouse 25,Electronic,WH-01,SUP-05,10,9,15,214.34,10-07-2026
SKU-1026,Coffee Mug 26,Home & Kitchen,WH-02,SUP-06,125,10,75,97.2,10-07-2026
SKU-1027,Bookshelf 27,Furniture,WH-03,SUP-07,48,15,40,160.2,10-07-2026
SKU-1028,Printer Paper 28,Stationery,WH-04,SUP-08,64,9,40,43.59,10-07-2026
SKU-1029,Hoodie 29,apparel,WH-01,SUP-09,75,16,30,55.14,10-07-2026
SKU-1030,Almonds 30,grocery,WH-02,SUP-10,54,7,15,176.5,10-07-2026
SKU-1031,Webcam 31,ELEC,WH-03,SUP-01,60,22,20,153.65,10-07-2026
SKU-1032,Water Filter 32,HOME_KITCHEN,WH-04,SUP-02,12,0,25,135.17,10-07-2026
SKU-1033,Office Chair 33,furniture,WH-01,SUP-03,137,13,50,43.78,10-07-2026
SKU-1034,Gel Pen Set 34,Office Supplies,WH-02,SUP-04,32,5,25,70.04,10-07-2026
SKU-1035,Denim Jacket 35,apparel,WH-03,SUP-05,18,10,10,172.26,10-07-2026
SKU-1036,Protein Bar 36,Groceries,WH-04,SUP-06,30,13,10,59.96,10-07-2026
SKU-1037,Power Bank 37,electronics,WH-01,SUP-07,175,5,50,201.94,10-07-2026
SKU-1038,Storage Jar 38,home kitchen,WH-02,SUP-08,6,21,25,69.5,10-07-2026
SKU-1039,Folding Chair 39,FURN,WH-03,SUP-09,23,,40,228.59,10-07-2026
SKU-1040,File Folder 40,Stationery,WH-04,SUP-10,121,14,75,55.91,10-07-2026
SKU-1041,Cotton T-Shirt 41,Apparel,WH-01,SUP-01,174,0,75,101.02,10-07-2026
SKU-1042,Olive Oil 42,GROC,WH-02,SUP-02,11,21,20,38.72,10-07-2026
SKU-1043,Bluetooth Speaker 43,Electronics,WH-03,SUP-03,36,18,30,64.29,10-07-2026
SKU-1044,Knife Set 44,HOME_KITCHEN,WH-04,SUP-04,121,25,50,187.64,10-07-2026
SKU-1045,Bedside Table 45,Furniture ,WH-01,SUP-05,126,11,50,224.81,10-07-2026
SKU-1046,Sticky Notes 46,Stationery,WH-02,SUP-06,14,6,20,92.73,10-07-2026
SKU-1047,Cap 47,Apparel ,WH-03,SUP-07,26,12,15,129.1,10-07-2026
SKU-1048,Peanut Butter 48,Food,WH-04,SUP-08,52,13,15,189.8,10-07-2026
SKU-1049,Wireless Mouse 49,electronics,WH-01,SUP-09,59,6,20,41.18,10-07-2026
SKU-1050,Coffee Mug 50,Home & Kitchen,WH-02,SUP-10,85,0,50,198.75,10-07-2026
SKU-1001,Wireless Mouse 01,Electronics,WH-01,SUP-01,14,24,10,161.12,11-07-2026
SKU-1002,Coffee Mug 02,HOME_KITCHEN,WH-02,SUP-02,71,7,25,186.29,11-07-2026
SKU-1003,Bookshelf 03,FURN,WH-03,SUP-03,22,3,15,58.52,11-07-2026
SKU-1004,Printer Paper 04,office supplies,WH-04,SUP-04,30,11,15,170.31,11-07-2026
SKU-1005,Hoodie 05,apparel,WH-01,SUP-05,28,0,10,149.06,11-07-2026
SKU-1006,Almonds 06,GROC,WH-02,SUP-06,56,18,25,10.85,11-07-2026
SKU-1007,Webcam 07,electronics,WH-03,SUP-07,13,2,10,60.85,11-07-2026
SKU-1008,Water Filter 08,Home and Kitchen,WH-04,SUP-08,88,18,50,141.85,11-07-2026
SKU-1009,Office Chair 09,furniture,WH-01,SUP-09,56,7,30,57.84,11-07-2026
SKU-1010,Gel Pen Set 10,office supplies,WH-02,SUP-10,18,8,10,203.02,11-07-2026
SKU-1011,Denim Jacket 11,Apparel ,WH-03,SUP-01,51,9,20,190.55,11-07-2026
SKU-1012,Protein Bar 12,grocery,WH-04,SUP-02,60,7,40,175.59,11-07-2026
SKU-1013,Power Bank 13,Electronics,WH-01,,22,10,25,72,11-07-2026
SKU-1014,Storage Jar 14,Kitchen,WH-02,SUP-04,18,8,40,239.45,11-07-2026
SKU-1015,Folding Chair 15,Furniture ,WH-03,SUP-05,99,4,50,28.69,11-07-2026
SKU-1016,File Folder 16,Office-Supplies,WH-04,SUP-06,41,5,40,27.34,11-07-2026
SKU-1017,Cotton T-Shirt 17,Apparel,WH-01,SUP-07,24,7,10,152.32,11-07-2026
SKU-1018,Olive Oil 18,Grocery,WH-02,SUP-08,48,12,15,183.38,11-07-2026
SKU-1019,  BLUETOOTH SPEAKER 19  ,Electronics ,WH-03,SUP-09,158,12,50,243.37,11-07-2026
SKU-1020,Knife Set 20,Home and Kitchen,WH-04,SUP-10,-12,7,30,22.92,11-07-2026
SKU-1021,Bedside Table 21,Furnitures,WH-01,SUP-01,75,12,40,207.95,11-07-2026
SKU-1022,Sticky Notes 22,Stationery,WH-02,SUP-02,30,23,15,145.82,11-07-2026
SKU-1023,Cap 23,Apparel ,WH-03,SUP-03,90,0,25,14.8,11-07-2026
SKU-1024,Peanut Butter 24,Food,WH-04,SUP-04,48,3,15,194.06,11-07-2026
SKU-1025,Wireless Mouse 25,electronics,WH-01,SUP-05,30,0,15,214.34,11-07-2026
SKU-1026,Coffee Mug 26,Kitchen,WH-02,SUP-06,222,17,75,97.2,11-07-2026
SKU-1027,Bookshelf 27,FURN,WH-03,SUP-07,135,2,40,160.2,11-07-2026
SKU-1028,Printer Paper 28,Stationery,WH-04,SUP-08,118,15,40,43.59,11-07-2026
SKU-1029,Hoodie 29,APP,WH-01,SUP-09,56,7,30,55.14,11-07-2026
SKU-1030,Almonds 30,GROC,WH-02,SUP-10,12,12,15,176.5,11-07-2026
SKU-1031,Webcam 31,electronics,WH-03,SUP-01,13,8,20,153.65,11-07-2026
SKU-1032,Water Filter 32,home kitchen,WH-04,SUP-02,35,18,25,135.17,11-07-2026
SKU-1033,Office Chair 33,Furniture ,WH-01,SUP-03,87,11,50,43.78,11-07-2026
SKU-1034,Gel Pen Set 34,Office Supplies,WH-02,SUP-04,47,9,25,70.04,11-07-2026
SKU-1035,Denim Jacket 35,Apparel ,WH-03,SUP-05,30,,10,172.26,11-07-2026
SKU-1036,Protein Bar 36,Grocery,WH-04,SUP-06,29,18,10,59.96,11-07-2026
SKU-1037,Power Bank 37,Electronics,WH-01,SUP-07,79,18,50,201.94,11-07-2026
SKU-1038,Storage Jar 38,HOME_KITCHEN,WH-02,SUP-08,93,3,25,69.5,11-07-2026
SKU-1039,Folding Chair 39,Furnitures,WH-03,SUP-09,147,12,40,228.59,11-07-2026
SKU-1040,File Folder 40,Stationery,WH-04,SUP-10,175,0,75,55.91,11-07-2026
SKU-1041,Cotton T-Shirt 41,APP,WH-01,SUP-01,154,15,75,101.02,11-07-2026
SKU-1042,Olive Oil 42,Grocery,WH-02,SUP-02,39,0,20,38.72,11-07-2026
SKU-1043,Bluetooth Speaker 43,electronics,WH-03,SUP-03,95,5,30,64.29,11-07-2026
SKU-1044,Knife Set 44,home kitchen,WH-04,SUP-04,162,17,50,187.64,11-07-2026
SKU-1045,Bedside Table 45,Furniture ,WH-01,SUP-05,173,19,50,224.81,11-07-2026
SKU-1046,Sticky Notes 46,Office Supplies,WH-02,SUP-06,43,11,20,92.73,11-07-2026
SKU-1047,Cap 47,apparel,WH-03,SUP-07,44,17,15,129.1,11-07-2026
SKU-1048,Peanut Butter 48,Groceries,WH-04,SUP-08,1,15,15,189.8,11-07-2026
SKU-1049,Wireless Mouse 49,ELEC,WH-01,SUP-09,28,8,20,41.18,11-07-2026
SKU-1050,Coffee Mug 50,Kitchen,WH-02,SUP-10,61,17,50,198.75,11-07-2026
SKU-1001,Wireless Mouse 01,Electronics ,WH-01,SUP-01,0,11,10,161.12,12-07-2026
SKU-1002,Coffee Mug 02,HOME_KITCHEN,WH-02,SUP-02,4,14,25,186.29,12-07-2026
SKU-1003,Bookshelf 03,Furniture,WH-03,SUP-03,48,12,15,58.52,12-07-2026
SKU-1004,Printer Paper 04,office supplies,WH-04,SUP-04,36,14,15,170.31,12-07-2026
SKU-1005,Hoodie 05,apparel,WH-01,SUP-05,0,0,10,149.06,12-07-2026
SKU-1006,Almonds 06,Grocery,WH-02,SUP-06,42,13,25,10.85,12-07-2026
SKU-1007,Webcam 07,Electronic,WH-03,SUP-07,23,8,10,60.85,12-07-2026
SKU-1008,Water Filter 08,Home and Kitchen,WH-04,SUP-08,42,10,50,141.85,12-07-2026
SKU-1009,Office Chair 09,furniture,WH-01,SUP-09,80,21,30,57.84,12-07-2026
SKU-1010,Gel Pen Set 10,Office Supplies,WH-02,SUP-10,31,9,10,203.02,12-07-2026
SKU-1011,Denim Jacket 11,Clothing,WH-03,SUP-01,49,0,20,190.55,12-07-2026
SKU-1012,Protein Bar 12,grocery,WH-04,SUP-02,69,5,40,175.59,12-07-2026
SKU-1013,Power Bank 13,Electronics,WH-01,SUP-03,51,20,25,72,12-07-2026
SKU-1014,Storage Jar 14,HOME_KITCHEN,WH-02,SUP-04,104,16,40,239.45,12-07-2026
SKU-1015,Folding Chair 15,Furniture ,WH-03,SUP-05,29,16,50,28.69,12-07-2026
SKU-1016,File Folder 16,OFFICE,WH-04,SUP-06,124,5,40,27.34,12-07-2026
SKU-1017,Cotton T-Shirt 17,APP,WH-01,SUP-07,4,420,10,152.32,12-07-2026
SKU-1018,Olive Oil 18,Groceries,WH-02,SUP-08,0,10,15,183.38,12-07-2026
SKU-1019,Bluetooth Speaker 19,ELEC,WH-03,SUP-09,183,13,50,243.37,12-07-2026
SKU-1020,Knife Set 20,Kitchen,WH-04,SUP-10,81,9,30,22.92,12-07-2026
SKU-1021,Bedside Table 21,Furniture ,WH-01,SUP-01,98,15,40,207.95,12-07-2026
SKU-1022,Sticky Notes 22,Stationery,WH-02,SUP-02,36,18,15,145.82,12-07-2026
SKU-1023,Cap 23,Apparel ,WH-03,SUP-03,74,13,25,14.8,12-07-2026
SKU-1024,Peanut Butter 24,grocery,WH-04,SUP-04,16,5,15,194.06,12-07-2026
SKU-1025,Wireless Mouse 25,electronics,WH-01,SUP-05,43,13,15,214.34,12-07-2026
SKU-1026,Coffee Mug 26,Home and Kitchen,WH-02,SUP-06,225,9,75,97.2,12-07-2026
SKU-1027,Bookshelf 27,FURN,WH-03,SUP-07,14,7,40,160.2,12-07-2026
SKU-1028,Printer Paper 28,office supplies,WH-04,SUP-08,36,8,40,43.59,12-07-2026
SKU-1029,Hoodie 29,Apparel ,WH-01,SUP-09,35,9,30,55.14,12-07-2026
SKU-1030,Almonds 30,GROC,WH-02,SUP-10,32,15,15,176.5,12-07-2026
SKU-1031,Webcam 31,electronics,WH-03,SUP-01,18,5,20,153.65,12-07-2026
SKU-1032,Water Filter 32,Kitchen,WH-04,SUP-02,68,9,25,135.17,12-07-2026
SKU-1033,Office Chair 33,Furnitures,WH-01,SUP-03,100,7,50,43.78,12-07-2026
SKU-1034,Gel Pen Set 34,Office Supplies,WH-02,SUP-04,42,10,25,70.04,12-07-2026
SKU-1035,Denim Jacket 35,APP,WH-03,SUP-05,17,15,10,172.26,12-07-2026
SKU-1036,Protein Bar 36,GROC,WH-04,SUP-06,17,14,10,59.96,12-07-2026
SKU-1037,Power Bank 37,Electronics ,WH-01,SUP-07,93,4,50,201.94,12-07-2026
SKU-1038,Storage Jar 38,Kitchen,WH-02,SUP-08,30,13,25,69.5,12-07-2026
SKU-1039,Folding Chair 39,furniture,WH-03,SUP-09,25,11,40,228.59,12-07-2026
SKU-1040,File Folder 40,Stationery,WH-04,SUP-10,103,16,75,55.91,12-07-2026
